30.11.2021                                       Edition de liste dynamique                                               1
---------------------------------------------------------------------------------------------------------------------------
ElémentOTP/Art.     BBG-213728-0209-02-001 / PCR0380P
Div./Util./Alt.     1000 / 2 / 01
Désignation         MASTERFOLD
Qté de base   (PC ) 1,000
Qté utilis. (PC )   1

---------------------------------------------------------------------------------------------------------------------------
|Niv|Noeud|N° composante                 |Déb.valid.|Fin valid.|Désignation objet                       |Gp.mar.ext|CatNcl|
---------------------------------------------------------------------------------------------------------------------------
| 1 |    1|PCR0380E00                    |15.03.2021|31.12.9999|GENERAL                                 |ELE       |P     |
| 2 |    1|PCR0380S0001                  |15.03.2021|31.12.9999|GENERAL + PLAQUETTES                    |SEC       |P     |
| 3 |    1|PCR0380T0001001               |15.03.2021|31.12.9999|MASTERFOLD BASE TOUTES VERSIONS         |SSE       |P     |
| 4 |    1|BSA00350000CJ                 |15.03.2021|31.12.9999|ME00 CAISSE D'OUTILLAGE                 |GOC       |P     |
| 5 |    1|BSA03220000LF                 |01.06.2008|31.12.9999|VISSERIE DE RESERVE                     |GOC       |M     |
| 6 |    1|BSA1004036100                 |01.06.2008|31.12.9999|ECROU MOL BAS M8 X 11                   |SCD       |M     |
| 6 |    2|BSA1007123700                 |01.06.2008|31.12.9999|RONDELLE LAMEE CONIQUE 8.4/25X4.8       |SCC       |M     |
| 6 |    3|BSA1252106001                 |01.06.2008|31.12.9999|GRAISSEUR HYDR. H1/H5 M6 CONIQUE        |SCC       |M     |
| 6 |    4|BSA1980003400                 |01.06.2008|31.12.9999|BOITE POUR DISQUE ENCOLLEUR             |SCC       |M     |
| 6 |    5|BSA816008012                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 12            |SCC       |M     |
| 6 |    6|BSA816008016                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 16            |SCC       |M     |
| 6 |    7|BSA816008025                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 25            |SCC       |M     |
| 6 |    8|BSA816008040                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 40            |SCC       |M     |
| 6 |    9|BSA816108060                  |01.06.2008|31.12.9999|V TR 6P PF      M 8/28  X 60            |SCC       |M     |
| 6 |   10|BSA831700006                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M6X5            |SCC       |M     |
| 6 |   11|BSA831700008                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M8X6.5          |SCC       |M     |
| 6 |   12|BSA831700010                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M10X8           |SCC       |M     |
| 6 |   13|BSA872008016                  |01.06.2008|31.12.9999|V CON 90 TR 6P  M 8     X 16            |SCC       |M     |
| 6 |   14|BSA872205012                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 5     X 12      |SCC       |M     |
| 6 |   15|BSA872206012                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 6     X 12      |SCC       |M     |
| 6 |   16|BSA872206020                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 6     X 20      |SCC       |M     |
| 6 |   17|BSA872206025                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 6     X 25      |SCC       |M     |
| 6 |   18|BSA872208012                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 12      |SCC       |M     |
| 6 |   19|BSA872208020                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 20      |SCC       |M     |
| 6 |   20|BSA872208030                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 30      |SCC       |M     |
| 6 |   21|BSA872210030                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M10     X 30      |SCC       |M     |
| 5 |    2|BSA03220000PC                 |01.06.2008|31.12.9999|TENDEUR COURROIE SUPERIEURE             |GOC       |M     |
| 6 |    1|BSA0322277100                 |01.06.2008|31.12.9999|COULISSE                                |CMP       |M     |
